date,employee_title,location,employee_status,review_title,years_at_company,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Thu Jun 27 2019 07:25:09 GMT+0530 (India Standard Time), Deployment Manager,Pune,Former Employee ,Superb place to work,,5,3,5,4,5,4
Thu Jun 27 2019 13:21:33 GMT+0530 (India Standard Time), Associate Manager,Bangalore,Current Employee ,Associate Manager,,4,4,4,4,4,4
Wed Jun 26 2019 10:08:59 GMT+0530 (India Standard Time), Senior Associate Platform L1,Hyderābād,Former Employee ,Great working environment,,5,5,5,5,3,5
Wed Jun 26 2019 20:08:05 GMT+0530 (India Standard Time), Senior Analyst,Bangalore,Current Employee ,I have been working with Accenture from last 2.6 years,,5,5,5,5,4,3
Wed Jun 26 2019 23:13:43 GMT+0530 (India Standard Time), Associate Software Engineer,Bangalore,Current Employee ,Good,,5,4,5,5,4,3
Wed Jun 26 2019 23:55:51 GMT+0530 (India Standard Time), Applications Developer Analyst,Pune,Former Employee ,Best In industry for fresher,,5,5,4,4,4,4
Thu Jun 27 2019 04:37:37 GMT+0530 (India Standard Time), Senior Software Engineer,Mumbai,Current Employee ,Accenture,,5,5,5,5,5,5
Wed Jun 26 2019 10:32:48 GMT+0530 (India Standard Time), Technology Education Analyst,Pune,Current Employee ,Good Opportunities,,4,4,4,4,4,4
Wed Jun 26 2019 16:02:15 GMT+0530 (India Standard Time), Senior Business Systems Analyst,Pune,Former Employee ,Worked for 5 years,,4,4,5,3,4,2
Wed Jun 26 2019 18:43:51 GMT+0530 (India Standard Time), Associate Software Engineer,Bangalore,Former Employee ,Accenture review,,4,4,4,4,4,4
Wed Jun 26 2019 20:00:50 GMT+0530 (India Standard Time), ASE,Mumbai,Former Employee ,Very good Working environment here,,4,4,4,4,4,4
Thu Jun 27 2019 02:25:08 GMT+0530 (India Standard Time), Software Test Engineer,"Gurgaon, Haryana",Current Employee ,Amazing place to work for,,4,3,4,3,3,4
Tue Jun 25 2019 09:43:05 GMT+0530 (India Standard Time), Team Lead,Bangalore,Current Employee ,Good learning,,5,3,5,5,3,5
Tue Jun 25 2019 19:57:54 GMT+0530 (India Standard Time), Business & Integration Arch Manager,Calcutta,Current Employee ,Working Culture @ Accenture,,5,5,5,5,5,
Tue Jun 25 2019 23:28:56 GMT+0530 (India Standard Time), Applications Development Analyst,Bangalore,Current Employee ,Great place to work,,5,4,5,4,4,4
Wed Jun 26 2019 03:39:13 GMT+0530 (India Standard Time), Associate Software Engineer,"Gurgaon, Haryana",Current Employee ,Great place to work,,5,5,5,5,4,3
Wed Jun 26 2019 05:25:03 GMT+0530 (India Standard Time), Associate,Bangalore,Former Employee ,"Worked as an Associate Software Engineer, and it was really great place to work.",,5,3,5,4,4,5
Wed Jun 26 2019 06:22:41 GMT+0530 (India Standard Time), Network Operation Analyst,Bangalore,Current Employee ,About six years of working experience. Well versed in On-site/off-site Troubleshooting .,,5,5,5,5,5,4
Tue Jun 25 2019 11:34:01 GMT+0530 (India Standard Time), ASE,Pune,Current Employee ,Good company,,4,3,5,3,4,5
Wed Jun 26 2019 03:34:46 GMT+0530 (India Standard Time), Senior Analyst,Bangalore,Current Employee ,Great to start career,,4,3,5,5,3,3
Wed Jun 26 2019 05:44:00 GMT+0530 (India Standard Time), Senior Software Engineer,Bangalore,Current Employee ,Amazing work life balance,,4,4,4,4,4,4
Mon Jun 24 2019 10:37:17 GMT+0530 (India Standard Time), Team Leader,Noida,Current Employee ,Review,,5,4,4,4,4,4
Mon Jun 24 2019 20:27:11 GMT+0530 (India Standard Time), Project Management Analyst,Pune,Current Employee ,Great,,5,5,4,5,5,4
Mon Jun 24 2019 23:03:21 GMT+0530 (India Standard Time), Applications Development Analyst,Pune,Current Employee ,Better Place to Grow and Learn New Technologies,,5,4,5,5,5,4
Tue Jun 25 2019 09:43:05 GMT+0530 (India Standard Time), Team Lead,Bangalore,Current Employee ,Good learning,,5,3,5,5,3,5
Mon Jun 24 2019 21:43:01 GMT+0530 (India Standard Time), Applications Development Associate,Bangalore,Current Employee ,Good place to work,,4,3,4,3,3,4
Mon Jun 24 2019 22:32:53 GMT+0530 (India Standard Time), Engineer,Bangalore,Former Employee ,Engineer,,4,4,4,4,4,4
Tue Jun 25 2019 00:58:05 GMT+0530 (India Standard Time), Senior Software Engineer,Bangalore,Current Employee ,Senior Software Engineer,,4,4,5,4,3,3
Mon Jun 24 2019 00:58:53 GMT+0530 (India Standard Time), Operations Lead,Hyderābād,Former Employee ,Accenture - Great to work,,5,5,5,5,5,
Mon Jun 24 2019 07:08:04 GMT+0530 (India Standard Time), Associate Software Engineer,Hyderābād,Former Employee ,good multinational company,,5,5,5,5,5,5
Sun Jun 23 2019 21:33:01 GMT+0530 (India Standard Time), Accountant,Chennai,Current Employee ,accountant,,4,4,3,3,4,3
Mon Jun 24 2019 00:58:33 GMT+0530 (India Standard Time), Applications Developer Analyst,Noida,Current Employee ,Work culture is good,,4,4,4,4,3,4
Mon Jun 24 2019 01:25:43 GMT+0530 (India Standard Time),,Hyderābād,Current Employee ,Good company to work for,,4,,,,,
Mon Jun 24 2019 03:39:39 GMT+0530 (India Standard Time), Applications Development Senior Programmer Analyst,Pune,Current Employee ,Good company to work for!,,4,3,5,5,2,2
Mon Jun 24 2019 05:55:25 GMT+0530 (India Standard Time), Associate Software Engineer,"Gurgaon, Haryana",Former Employee ,Great Company to work for in IT.,,4,4,4,3,4,4
Mon Jun 24 2019 06:14:07 GMT+0530 (India Standard Time), Assc Software Engineer,"Gurgaon, Haryana",Current Employee ,Nice company with less work pressure,,4,5,5,4,4,4
Sun Jun 23 2019 01:04:44 GMT+0530 (India Standard Time), Team Lead,Bangalore,Current Employee ,Good service base company,,5,2,3,4,4,3
