date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Tue Feb 19 2019 11:07:42 GMT+0530 (India Standard Time), Technical Support Analyst,Bangalore,Former Employee ,Amazing work place,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Jun 26 2019 02:17:15 GMT+0530 (India Standard Time), SSE,Bangalore,Current Employee ,flexible work timings,,0,,,,5.0,,,,,
Thu Jun 27 2019 19:41:17 GMT+0530 (India Standard Time),,,Current Employee ,Senior Analyst,,0,,,,5.0,3.0,4.0,4.0,3.0,3.0
Thu Jun 27 2019 22:47:34 GMT+0530 (India Standard Time),,,Current Employee ,Good especially for working mothers,,0,,,,5.0,5.0,5.0,5.0,3.0,5.0
Thu Jun 27 2019 17:49:54 GMT+0530 (India Standard Time), Finance Analyst,Bangalore,Current Employee ,Finance Analyst,,0,,,,4.0,3.0,5.0,4.0,3.0,3.0
Fri Jun 28 2019 04:28:46 GMT+0530 (India Standard Time), Software Developer,Bangalore,Current Employee ,Software Developer,,0,,,,4.0,3.0,2.0,3.0,4.0,2.0
Wed Jun 26 2019 11:15:47 GMT+0530 (India Standard Time), Billing Analyst,"Gurgaon, Haryana",Current Employee ,Billing analyst,,0,,,,5.0,5.0,5.0,5.0,4.0,5.0
Wed Jun 26 2019 11:50:59 GMT+0530 (India Standard Time), SAP Basis Consultant,Calcutta,Current Employee ,IBM Review,,0,,,,5.0,4.0,4.0,4.0,3.0,3.0
Wed Jun 26 2019 10:41:07 GMT+0530 (India Standard Time),,Mumbai,Former Employee ,Working on domestic DWH projects,,0,,,,4.0,5.0,4.0,4.0,4.0,3.0
Thu Jun 27 2019 00:48:43 GMT+0530 (India Standard Time),,,Former Employee ,Less growth,,0,,,,4.0,5.0,4.0,3.0,1.0,2.0
Thu Jun 27 2019 04:55:06 GMT+0530 (India Standard Time), IT Security Analyst,Bangalore,Current Employee ,Best one,,0,,,,4.0,4.0,4.0,4.0,4.0,4.0
Thu Jun 27 2019 06:23:18 GMT+0530 (India Standard Time), Systems Engineer,Bangalore,Former Employee ,The best for women employees,,0,,,,4.0,5.0,5.0,4.0,2.0,4.0
Thu Jun 27 2019 06:56:34 GMT+0530 (India Standard Time), Database Administrator,Chennai,Current Employee ,Good for work life balance,,0,,,,4.0,5.0,4.0,4.0,1.0,4.0
Tue Jun 25 2019 15:24:54 GMT+0530 (India Standard Time),,,Current Employee ,Procurement at IBM,,0,,,,5.0,5.0,5.0,4.0,4.0,4.0
Tue Jun 25 2019 18:36:14 GMT+0530 (India Standard Time),,,Current Employee ,Good work culture,,0,,,,5.0,4.0,5.0,4.0,4.0,3.0
Tue Jun 25 2019 23:31:29 GMT+0530 (India Standard Time), Applications Developer,Bangalore,Current Employee ,Work Experience,,0,,,,5.0,5.0,5.0,5.0,4.0,5.0
Tue Jun 25 2019 23:38:52 GMT+0530 (India Standard Time), Sofyware Engineer,Pune City,Current Employee ,Salray is very good,,0,,,,5.0,5.0,4.0,5.0,5.0,4.0
Wed Jun 26 2019 02:38:07 GMT+0530 (India Standard Time), Software Engineer,,Current Employee ,Good work location,,0,,,,5.0,,,,,
Wed Jun 26 2019 02:38:07 GMT+0530 (India Standard Time), Software Engineer,,Current Employee ,Good work location,,0,,,,5.0,,,,,
Wed Jun 26 2019 00:23:54 GMT+0530 (India Standard Time), Software Engineer,Bangalore,Current Employee ,Working as software engineer in IBM from past 3 years,,0,,,,4.0,4.0,4.0,4.0,4.0,4.0
Wed Jun 26 2019 06:53:26 GMT+0530 (India Standard Time),,,Current Employee ,Good company to work for.,,0,,,,4.0,,,,,
Mon Jun 24 2019 17:38:24 GMT+0530 (India Standard Time), Applications Developer,Calcutta,Former Employee ,3 years Application Developer at IBM,,0,,,,5.0,5.0,5.0,5.0,5.0,3.0
Tue Jun 25 2019 03:14:04 GMT+0530 (India Standard Time),,,Current Employee ,Overall a good place to work,,0,,,,5.0,5.0,5.0,4.0,2.0,5.0
Tue Jun 25 2019 03:37:54 GMT+0530 (India Standard Time),,,Former Employee ,Jobs at IBM,,0,,,,5.0,5.0,5.0,5.0,4.0,5.0
Tue Jun 25 2019 06:45:57 GMT+0530 (India Standard Time), Applications Developer,Pune,Current Employee ,I am working in IBM from 3 years,,0,,,,5.0,5.0,5.0,5.0,4.0,4.0
Tue Jun 25 2019 07:09:54 GMT+0530 (India Standard Time),,,Current Employee ,Application Architect,,0,,,,5.0,4.0,3.0,3.0,2.0,2.0
Tue Jun 25 2019 08:48:05 GMT+0530 (India Standard Time),,,Current Employee ,Tester,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0
Mon Jun 24 2019 11:51:09 GMT+0530 (India Standard Time),,Calcutta,Current Employee ,Application Developer,,0,,,,4.0,3.0,2.0,3.0,3.0,1.0
Mon Jun 24 2019 14:28:40 GMT+0530 (India Standard Time), Applications Architect,Hyderābād,Former Employee ,SAP Basis Administrator,,0,,,,4.0,4.0,4.0,4.0,3.0,4.0
Mon Jun 24 2019 19:57:53 GMT+0530 (India Standard Time), Project Manager,Hyderābād,Current Employee ,Working@IBM,,0,,,,4.0,4.0,5.0,4.0,3.0,3.0
Mon Jun 24 2019 20:09:10 GMT+0530 (India Standard Time), SAP ABAP,Hyderābād,Current Employee ,Best working environment,,0,,,,4.0,5.0,4.0,4.0,4.0,4.0
Mon Jun 24 2019 22:06:43 GMT+0530 (India Standard Time), Project Manager,,Current Employee ,IBM Review,,0,,,,4.0,4.0,4.0,3.0,2.0,2.0
Tue Jun 25 2019 06:46:30 GMT+0530 (India Standard Time),,,Current Employee ,Analyst,,0,,,,4.0,3.0,4.0,,,
Tue Jun 25 2019 08:04:55 GMT+0530 (India Standard Time), Systems Analyst,,Current Employee ,Good,,0,,,,4.0,4.0,4.0,4.0,3.0,3.0
Tue Jun 25 2019 08:20:50 GMT+0530 (India Standard Time), Project Manager,New Delhi,Current Employee ,Great company to work.,,0,,,,4.0,4.0,5.0,3.0,3.0,3.0
Sun Jun 23 2019 10:10:51 GMT+0530 (India Standard Time), Consultant,,Current Employee ,IBM is a Great place to work,,0,,,,5.0,5.0,5.0,5.0,5.0,5.0
Mon Jun 24 2019 03:22:04 GMT+0530 (India Standard Time),,,Current Employee ,Great place to work,,0,,,,5.0,5.0,5.0,5.0,4.0,5.0
