date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Fri Jun 28 2019 04:14:56 GMT+0530 (India Standard Time), Business Presentation Specialist,Bangalore,Former Employee ,Business Presentation and Job coordination,,0,,,,5.0,,,,,
Sun Jun 23 2019 22:06:02 GMT+0530 (India Standard Time), BPS,Chennai,Former Employee ,Good,,0,,,,5.0,5.0,5.0,5.0,5.0,3.0
Thu Jun 13 2019 10:28:33 GMT+0530 (India Standard Time), Businesses Presentation Specialist,Bangalore,Current Employee ,Excellent,,0,,,,5.0,5.0,5.0,4.0,3.0,5.0
Tue Jun 25 2019 11:57:18 GMT+0530 (India Standard Time), Engagement Manager,Bangalore,Current Employee ,Great place to learn. Bad place if you want a life,,0,,,,4.0,1.0,5.0,5.0,3.0,4.0
Tue Jun 25 2019 21:50:53 GMT+0530 (India Standard Time),,,Current Employee ,GOOD PLACE TO KICK START YOUR CAREER,,0,,,,4.0,4.0,5.0,3.0,3.0,4.0
Tue Jun 25 2019 04:44:17 GMT+0530 (India Standard Time), Senior Manager,New Delhi,Current Employee ,McKinsey Strategy,,0,,,,4.0,2.0,5.0,5.0,4.0,4.0
Sat Jun 22 2019 12:51:27 GMT+0530 (India Standard Time),,,Former Employee ,Great place to work if you could work hard!,,0,,,,4.0,3.0,4.0,5.0,5.0,3.0
Thu Jun 20 2019 22:33:22 GMT+0530 (India Standard Time),,,Current Employee ,Great place to work,,0,,,,4.0,2.0,4.0,4.0,3.0,3.0
Mon May 27 2019 19:08:16 GMT+0530 (India Standard Time),,Chennai,Former Employee ,Excellent place to start your career,,0,,,,5.0,3.0,5.0,5.0,5.0,4.0
Tue Jun 11 2019 20:16:10 GMT+0530 (India Standard Time), IT Security Analyst,"Gurgaon, Haryana",Current Employee ,Security Operations,,0,,,,4.0,5.0,5.0,4.0,4.0,4.0
Sat May 25 2019 01:01:43 GMT+0530 (India Standard Time), IT Engineer,New Delhi,Current Employee ,IT engineer,,0,,,,5.0,4.0,5.0,4.0,4.0,4.0
Thu May 16 2019 21:53:54 GMT+0530 (India Standard Time),,Chennai,Current Employee ,Business Presentation Specialist,,0,,,,5.0,5.0,5.0,4.0,4.0,5.0
Wed May 22 2019 05:29:17 GMT+0530 (India Standard Time),,,Current Employee ,Bps,,0,,,,5.0,5.0,5.0,4.0,5.0,5.0
